Epoch,TimeStamp,TrainingLoss,TrainingAccuracy,ValidationAccuracy,meanGradientMagnitude,maxGradientMagnitude,minGradientMagnitude,gradientVariance,LearningRate,UsedMemoryMB,TotalMemoryMB,MaxMemoryMB,totalShuffleReadBytes,totalShuffleWriteBytes,maxTaskDuration,minTaskDuration,avgTaskDuration,failedTaskCount,processCpuLoad,systemCpuLoad
1,1670,0.15476121520996095,0.0,0.0,0.0,0.0,0.0,0.0,0.001,323,718,3572,141005,141005,354,0,92.08396946564885,0,20.0,-1.0
2,992,0.11004651641845704,0.0,0.0,0.0,0.0,0.0,0.0,0.001,174,763,3572,141005,141005,175,1,16.2972972972973,0,20.0,-1.0
3,925,0.09211746215820313,0.0,0.0,0.0,0.0,0.0,0.0,0.001,270,766,3572,141005,141005,155,2,15.495495495495495,0,20.0,-1.0
4,994,0.07878684997558594,0.0,0.0,0.0,0.0,0.0,0.0,0.001,356,819,3572,141005,141005,154,0,11.99099099099099,0,20.0,-1.0
5,1681,0.06805448150634766,0.0,0.0,0.0,0.0,0.0,0.0,0.001,382,819,3572,141005,141005,154,0,16.27027027027027,0,20.0,-1.0
6,970,0.0590521240234375,0.2,0.0,0.0,0.0,0.0,0.0,0.001,416,861,3572,141005,141005,157,0,14.954954954954955,0,20.0,-1.0
7,1362,0.05146054458618164,0.2,0.0,0.0,0.0,0.0,0.0,0.001,401,861,3572,141005,141005,158,1,20.34234234234234,0,20.0,-1.0
8,933,0.04532898330688477,0.0,0.0,0.0,0.0,0.0,0.0,0.001,383,909,3572,141005,141005,143,0,11.585585585585585,0,20.0,-1.0
9,898,0.0406205825805664,0.4,0.0,0.0,0.0,0.0,0.0,0.001,332,909,3572,141005,141005,160,0,16.27927927927928,0,20.0,-1.0
10,897,0.03714194107055664,0.2,0.0,0.0,0.0,0.0,0.0,0.001,271,961,3572,141005,141005,159,0,21.08108108108108,0,20.0,-1.0
